,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Paper,11.0,0.0,2.0,8.0,0.0,2.0,578.0,149.0,8.0,13.0,1.0,818.0,95.0,2.0,55.0,41.0,82.0,34.0,20.0,40.0,23.0,4.0,102.0,4.0,3.0,28.0,21.0,3.0,3.0,2.0,5.0,12.0,2.0,25.0,6.0,39.0,39.0,7.0,7.0,4.0,11.0,0.0,5.0,22.0,98.0,3.0,4.0,6.0,13.0,4.0,7.0,7.0,3.0,2.0,21.0,11.0,13.0,6.0,6.0,13.0,10.0,0.0,5.0,6.0,1.0,1.0,65.0,180.0,37.0,31.0,67.0,54.0,11.0,3.0,0.0,3.0,11.0,10.0,4.0,0.0
Graphical,10.0,0.0,0.0,0.0,2.0,1.0,79.0,44.0,1.0,3.0,3.0,18.0,61.0,1.0,40.0,0.0,17.0,8.0,16.0,13.0,23.0,18.0,19.0,15.0,3.0,1.0,8.0,8.0,7.0,1.0,8.0,19.0,13.0,37.0,65.0,230.0,120.0,22.0,11.0,6.0,10.0,4.0,35.0,66.0,465.0,27.0,10.0,79.0,109.0,26.0,143.0,28.0,31.0,0.0,25.0,37.0,190.0,15.0,13.0,207.0,10.0,2.0,22.0,29.0,75.0,1.0,9.0,25.0,61.0,60.0,33.0,42.0,18.0,12.0,5.0,8.0,9.0,1.0,4.0,0.0
Oil,146.0,1.0,23.0,6.0,3.0,3.0,31.0,5.0,0.0,1.0,4.0,1.0,3.0,1273.0,1222.0,15.0,4.0,12.0,15.0,9.0,1.0,9.0,6.0,0.0,8.0,4.0,2.0,10.0,71.0,1.0,12.0,47.0,142.0,109.0,22.0,208.0,53.0,314.0,277.0,825.0,80.0,9.0,3.0,12.0,0.0,4.0,1.0,2.0,24.0,4.0,24.0,28.0,17.0,0.0,29.0,11.0,55.0,34.0,2.0,13.0,3.0,1.0,110.0,22.0,1.0,0.0,20.0,4.0,40.0,65.0,9.0,19.0,9.0,4.0,0.0,36.0,20.0,6.0,15.0,0.0
Chemical,288.0,0.0,0.0,4.0,16.0,0.0,132.0,10.0,106.0,76.0,20.0,216.0,71.0,308.0,9635.0,70.0,992.0,59.0,52.0,89.0,34.0,63.0,38.0,69.0,34.0,261.0,106.0,34.0,8.0,35.0,10.0,112.0,24.0,330.0,3.0,198.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,8.0,26.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,64.0,0.0,8.0,4.0,181.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,29.0,41.0,17.0,5.0,7.0,4.0,2.0,6.0,0.0,8.0,11.0,0.0
Pharmaceutical,24.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,2.0,2.0,0.0,3.0,0.0,0.0,80.0,123.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubber&Plastic,35.0,0.0,0.0,8.0,1.0,9.0,255.0,38.0,7.0,7.0,62.0,159.0,11.0,8.0,149.0,19.0,227.0,207.0,28.0,88.0,12.0,32.0,116.0,146.0,34.0,55.0,57.0,30.0,5.0,0.0,7.0,196.0,60.0,427.0,6.0,39.0,23.0,14.0,3.0,4.0,11.0,2.0,5.0,12.0,29.0,5.0,1.0,4.0,11.0,1.0,2.0,3.0,6.0,34.0,95.0,12.0,27.0,1.0,12.0,3.0,8.0,0.0,0.0,4.0,0.0,0.0,23.0,13.0,5.0,10.0,13.0,41.0,5.0,3.0,0.0,4.0,5.0,29.0,11.0,0.0
Building Material,8.0,0.0,0.0,0.0,0.0,0.0,37.0,99.0,5.0,0.0,0.0,2.0,0.0,0.0,8.0,14.0,6.0,314.0,8.0,27.0,14.0,8.0,8.0,0.0,0.0,1.0,33.0,0.0,11.0,0.0,9.0,2394.0,599.0,888.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,119.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,27.0,23.0,21.0,0.0,7.0,3.0,0.0,5.0,0.0,0.0,14.0,0.0
Raw Metal,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,39.0,0.0,5.0,26.0,26.0,1392.0,21.0,16.0,239.0,88.0,4.0,12.0,4.0,12.0,66.0,0.0,23.0,165.0,276.0,179.0,49.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Metal Product,28.0,2.0,0.0,9.0,7.0,3.0,316.0,45.0,3.0,4.0,48.0,5.0,3.0,2.0,107.0,4.0,21.0,11.0,26.0,3513.0,37.0,2.0,2052.0,449.0,437.0,26.0,18.0,1610.0,50.0,2.0,143.0,1952.0,778.0,1635.0,30.0,360.0,4.0,14.0,1.0,0.0,8.0,0.0,3.0,1.0,12.0,1.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,6.0,78.0,8.0,48.0,353.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,20.0,1.0,253.0,14.0,20.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0
Electrotechnical,4.0,0.0,0.0,6.0,2.0,0.0,16.0,2.0,8.0,1.0,0.0,3.0,2.0,6.0,13.0,2.0,3.0,8.0,27.0,20.0,146.0,33.0,66.0,17.0,71.0,3.0,9.0,24.0,10.0,0.0,11.0,62.0,6.0,39.0,9.0,36.0,22.0,9.0,1.0,0.0,22.0,2.0,6.0,8.0,0.0,3.0,2.0,92.0,23.0,0.0,2.0,1.0,9.0,1.0,7.0,13.0,106.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,13.0,13.0,397.0,9.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
Electrical devices,4.0,0.0,0.0,4.0,4.0,7.0,10.0,5.0,15.0,0.0,0.0,2.0,2.0,1.0,12.0,3.0,7.0,2.0,7.0,24.0,19.0,84.0,31.0,58.0,63.0,0.0,3.0,102.0,3.0,0.0,8.0,140.0,11.0,140.0,0.0,53.0,24.0,10.0,3.0,0.0,22.0,0.0,7.0,11.0,0.0,0.0,0.0,45.0,16.0,0.0,8.0,3.0,0.0,3.0,27.0,13.0,357.0,164.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,13.0,9.0,9.0,4.0,0.0,0.0,0.0,13.0,0.0,2.0,3.0,0.0
Machines,290.0,12.0,5.0,21.0,13.0,8.0,162.0,17.0,2.0,11.0,28.0,35.0,10.0,40.0,174.0,28.0,67.0,45.0,141.0,264.0,144.0,35.0,2165.0,93.0,143.0,15.0,12.0,233.0,81.0,6.0,65.0,327.0,57.0,271.0,106.0,268.0,150.0,39.0,16.0,0.0,63.0,3.0,12.0,10.0,15.0,0.0,0.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,42.0,103.0,11.0,4.0,6.0,0.0,94.0,5.0,6.0,0.0,21.0,7.0,118.0,7.0,11.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0
Car,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,348.0,32.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
