,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Ground&Water Building,6.0,6.0,1.0,1.0,3.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,59.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,13.0,3.0,5.0,5.0,3.0,14.0,874.0,32.0,5.0,785.0,399.0,684.0,3.0,80.0,13.0,37.0,0.0,0.0,313.0,0.0,5.0,20.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,23.0,47.0,0.0,3.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1634.0,11.0,5.0,20.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
Specialized building,241.0,6.0,1.0,12.0,1.0,6.0,74.0,7.0,2.0,7.0,3.0,14.0,11.0,10.0,231.0,11.0,15.0,10.0,45.0,34.0,6.0,3.0,28.0,11.0,62.0,3.0,11.0,13.0,66.0,12.0,31.0,6997.0,2488.0,4514.0,18.0,140.0,119.0,59.0,19.0,9.0,203.0,6.0,23.0,41.0,5.0,3.0,1.0,266.0,35.0,1.0,18.0,20.0,10.0,2857.0,2396.0,15.0,236.0,35.0,34.0,9.0,4.0,1.0,24.0,16.0,0.0,3.0,20.0,11.0,746.0,378.0,149.0,226.0,22.0,7.0,20.0,59.0,27.0,2.0,14.0,0.0
Car trade&repair,63.0,5.0,0.0,6.0,3.0,7.0,76.0,4.0,0.0,5.0,9.0,3.0,8.0,3.0,19.0,3.0,7.0,15.0,10.0,42.0,5.0,8.0,28.0,28.0,5.0,17.0,12.0,24.0,4.0,5.0,96.0,60.0,38.0,188.0,2378.0,398.0,118.0,652.0,0.0,0.0,70.0,36.0,5.0,27.0,5.0,7.0,1.0,36.0,50.0,6.0,49.0,57.0,34.0,0.0,51.0,46.0,237.0,50.0,6.0,37.0,21.0,2.0,1061.0,23.0,3.0,16.0,62.0,13.0,127.0,85.0,78.0,53.0,26.0,13.0,3.0,41.0,37.0,4.0,15.0,0.0
Wholesale,225.0,6.0,3.0,28.0,10.0,31.0,592.0,80.0,20.0,31.0,26.0,189.0,62.0,63.0,514.0,62.0,120.0,63.0,382.0,135.0,174.0,116.0,310.0,59.0,60.0,28.0,33.0,53.0,106.0,5.0,296.0,137.0,63.0,206.0,80.0,3353.0,584.0,109.0,39.0,23.0,126.0,59.0,38.0,97.0,46.0,26.0,13.0,135.0,610.0,87.0,38.0,36.0,43.0,0.0,125.0,136.0,314.0,175.0,29.0,54.0,70.0,1.0,127.0,63.0,31.0,12.0,40.0,36.0,242.0,35.0,57.0,55.0,19.0,11.0,5.0,24.0,27.0,11.0,20.0,0.0
Retail,5.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,11.0,0.0,6.0,4.0,3.0,3.0,7.0,8.0,4.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,13.0,9.0,46.0,856.0,12.0,1.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,0.0,172.0,4.0,0.0,5.0,2.0,3.0,0.0,11.0,5.0,24.0,7.0,0.0,5.0,32.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,11.0,7.0,7.0,0.0,4.0,5.0,3.0,6.0,4.0,0.0,1.0,0.0
Land Transport,91.0,0.0,2.0,20.0,5.0,3.0,62.0,12.0,2.0,8.0,3.0,9.0,14.0,138.0,70.0,5.0,13.0,9.0,15.0,35.0,45.0,35.0,31.0,13.0,10.0,4.0,3.0,2.0,10.0,0.0,393.0,18.0,20.0,35.0,112.0,943.0,158.0,5530.0,26.0,23.0,233.0,6.0,7.0,10.0,13.0,15.0,6.0,29.0,32.0,3.0,16.0,32.0,18.0,0.0,12.0,12.0,143.0,10.0,4.0,8.0,5.0,0.0,17.0,17.0,296.0,1.0,3.0,4.0,234.0,59.0,118.0,138.0,11.0,6.0,1.0,18.0,41.0,0.0,6.0,0.0
Water Transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,169.0,627.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Transport,10.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,11.0,1.0,1.0,0.0,2.0,0.0,1.0,806.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,20.0,9.0,2.0,0.0,131.0,79.0,18.0,2.0,2.0,1.0,1.0,1.0,17.0,4.0,1.0,6.0,4.0,0.0,0.0,9.0,2.0,86.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,735.0,0.0,0.0,1.0,29.0,21.0,49.0,24.0,2.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0
Storage for transport,58.0,0.0,9.0,68.0,0.0,3.0,55.0,3.0,2.0,4.0,1.0,0.0,2.0,520.0,197.0,0.0,2.0,4.0,4.0,3.0,11.0,2.0,2.0,2.0,10.0,0.0,2.0,3.0,47.0,0.0,5.0,8.0,4.0,14.0,62.0,644.0,60.0,597.0,421.0,522.0,3980.0,11.0,5.0,4.0,3.0,2.0,1.0,22.0,29.0,1.0,7.0,17.0,14.0,0.0,4.0,4.0,70.0,6.0,0.0,8.0,5.0,1.0,6.0,6.0,0.0,1.0,1.0,61.0,211.0,6.0,3.0,6.0,5.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0
Postal,27.0,0.0,2.0,1.0,0.0,1.0,19.0,1.0,0.0,1.0,2.0,3.0,5.0,3.0,7.0,3.0,3.0,4.0,3.0,13.0,6.0,1.0,15.0,4.0,4.0,3.0,6.0,7.0,17.0,3.0,3.0,19.0,8.0,36.0,26.0,258.0,166.0,89.0,6.0,2.0,33.0,762.0,11.0,21.0,51.0,6.0,3.0,74.0,33.0,5.0,64.0,24.0,16.0,0.0,114.0,31.0,58.0,17.0,5.0,12.0,11.0,1.0,8.0,15.0,4.0,6.0,8.0,6.0,393.0,129.0,92.0,135.0,24.0,13.0,6.0,18.0,29.0,2.0,9.0,0.0
